Country;Constituency;Area;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Finchley and Golders Green;London;London;Barnet;75761;2900;4500;1200;600;500;0;0;200
England;Folkestone and Hythe;South East;South East;Kent;70023;3000;4300;500;1500;600;0;0;000
England;Forest of Dean;South West;South West;Gloucestershire;71510;2900;4000;700;1600;700;0;0;000
England;Frome and East Somerset;South West;South West;Somerset;70177;2800;3100;2000;1200;800;0;0;000
England;Fylde;North West;North West;Lancashire;75114;3600;4200;600;1200;400;0;0;000
England;Gainsborough;East Midlands;East Midlands;Lincolnshire;74750;3700;3300;900;1700;300;0;0;000
England;Gateshead Central and Whickham;North East;North East;Newcastle area;70994;1400;5900;400;1300;800;0;0;100
England;Gedling;East Midlands;East Midlands;Nottinghamshire;75795;2400;4800;300;1700;700;0;0;100
England;Gillingham and Rainham;South East;South East;Kent;73951;3100;4000;500;1800;400;0;0;100
Scotland;Glasgow East;Scotland;Scotland;Glasgow area;69748;500;4400;100;300;600;3800;0;300
Scotland;Glasgow North;Scotland;Scotland;Glasgow area;75236;400;4500;200;200;800;3500;0;300
Scotland;Glasgow North East;Scotland;Scotland;Glasgow area;73210;400;4700;100;300;500;3600;0;200
Scotland;Glasgow South;Scotland;Scotland;Glasgow area;70431;500;4400;200;300;900;3400;0;300
Scotland;Glasgow South West;Scotland;Scotland;Glasgow area;71344;500;4500;100;300;600;3700;0;300
Scotland;Glasgow West;Scotland;Scotland;Glasgow area;72499;500;4900;200;300;400;3400;0;200
England;Glastonbury and Somerton;South West;South West;Somerset;70015;3400;1500;3400;1100;500;0;0;0
Scotland;Glenrothes and Mid Fife;Scotland;Scotland;Fife;69734;800;4500;300;600;0;3800;0;0
England;Gloucester;South West;South West;Gloucestershire;76695;2800;4600;700;1400;400;0;0;100
England;Godalming and Ash;South East;South East;Surrey;71399;3400;1700;3300;1100;400;0;0;000
England;Goole and Pocklington;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;76337;3500;3800;700;1400;500;0;0;000
Scotland;Gordon and Buchan;Scotland;Scotland;Grampian;70238;3200;2100;1200;400;0;3000;0;0
England;Gorton and Denton;North West;North West;Central Manchester;74306;1100;6800;400;800;700;0;0;200
England;Gosport;South East;South East;Hampshire;73763;3900;3300;700;1400;500;0;0;000
Wales;Gower;Wales;Wales;West Glamorgan;76801;2000;4900;300;1700;300;600;0;000
England;Grantham and Bourne;East Midlands;East Midlands;Lincolnshire;72071;3600;3200;500;1800;700;0;0;000
England;Gravesham;South East;South East;Kent;72866;3300;3900;500;1600;500;0;0;0
England;Great Grimsby and Cleethorpes;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;77050;2800;4400;500;1700;400;0;0;100
England;Great Yarmouth;Eastern;East of England;Norfolk;70077;2000;4300;200;2800;400;0;0;100
England;Greenwich and Woolwich;London;London;Greenwich;69824;1200;6000;900;500;1000;0;0;300
England;Guildford;South East;South East;Surrey;71367;2500;1600;3900;1500;400;0;0;100
England;Hackney North and Stoke Newington;London;London;Hackney;75401;700;6200;400;500;1800;0;0;300
England;Hackney South and Shoreditch;London;London;Hackney;75197;600;7500;400;300;1000;0;0;200
England;Halesowen;West Midlands;West Midlands;Black Country;69907;3200;4600;200;1600;300;0;0;0
England;Halifax;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;74563;2300;5100;600;1200;600;0;0;100
England;Hamble Valley;South East;South East;Hampshire;76902;3800;2400;1800;1300;600;0;0;000
Scotland;Hamilton and Clyde Valley;Scotland;Scotland;Ayrshire and Lanark;74577;1100;5100;200;500;0;3000;0;100
England;Hammersmith and Chiswick;London;London;Hammersmith and Fulham;74746;1600;5800;800;600;800;0;0;200
England;Hampstead and Highgate;London;London;Camden;74222;1400;5900;900;500;900;0;0;200
England;Harborough, Oadby and Wigston;East Midlands;East Midlands;Leicestershire;74810;3600;4000;800;1000;400;0;0;100
England;Harlow;Eastern;East of England;Essex;73479;3100;4100;400;1900;400;0;0;100
England;Harpenden and Berkhamsted;Eastern;East of England;Hertfordshire;71635;3100;1700;3700;900;500;0;0;000
England;Harrogate and Knaresborough;Yorkshire and The Humber;Yorkshire and The Humber;North Yorkshire;75800;3300;1800;3700;800;200;0;0;000
England;Harrow East;London;London;Harrow;76299;3600;4800;300;800;300;0;0;200
England;Harrow West;London;London;Harrow;74060;2000;6100;300;700;500;0;0;200
England;Hartlepool;North East;North East;Teesside;71228;1300;5400;300;2500;300;0;0;100
England;Harwich and North Essex;Eastern;East of England;Essex;74838;3200;3800;700;1600;600;0;0;0
England;Hastings and Rye;South East;South East;East Sussex;75581;2800;4900;300;1200;700;0;0;100
England;Havant;South East;South East;Hampshire;72766;3700;3100;900;1500;700;0;0;000
England;Hayes and Harlington;London;London;Hillingdon;72897;2200;5900;300;700;500;0;0;300
England;Hazel Grove;North West;North West;Eastern Manchester;72941;2600;2700;3300;900;300;0;0;000
England;Hemel Hempstead;Eastern;East of England;Hertfordshire;70496;2900;4200;600;1700;600;0;0;0
England;Hendon;London;London;Barnet;71496;2900;5000;300;900;600;0;0;200
England;Henley and Thame;South East;South East;Oxfordshire;70626;3200;1400;3800;900;500;0;0;000
England;Hereford and South Herefordshire;West Midlands;West Midlands;Hereford and Worcestershire;71125;3400;3300;1100;1500;500;0;0;000
England;Herne Bay and Sandwich;South East;South East;Kent;76028;3200;3500;900;1900;400;0;0;0
England;Hertford and Stortford;Eastern;East of England;Hertfordshire;75396;2800;4000;900;1500;700;0;0;000
England;Hertsmere;Eastern;East of England;Hertfordshire;73256;3400;3300;1000;1600;500;0;0;100
England;Hexham;North East;North East;Northumberland;72738;3800;5000;600;0;500;0;0;000
England;Heywood and Middleton North;North West;North West;Eastern Manchester;73306;2300;5500;400;1700;0;0;0;100
England;High Peak;East Midlands;East Midlands;Derbyshire;73960;2300;5900;200;1100;400;0;0;0
England;Hinckley and Bosworth;East Midlands;East Midlands;Leicestershire;75683;4000;2800;1200;1300;500;0;0;000
England;Hitchin;Eastern;East of England;Hertfordshire;72112;2700;3600;2200;900;400;0;0;000
England;Holborn and St Pancras;London;London;Camden;75475;800;6600;600;600;1000;0;0;200
England;Honiton and Sidmouth;South West;South West;Devon;74365;2900;1400;4200;1100;200;0;0;000
England;Hornchurch and Upminster;London;London;Havering;76938;3500;3800;400;1900;300;0;0;100
England;Hornsey and Friern Barnet;London;London;Haringey;70565;800;6400;1100;500;900;0;0;200
England;Horsham;South East;South East;West Sussex;76981;3700;2500;2200;1000;500;0;0;000
England;Houghton and Sunderland South;North East;North East;Newcastle area;76883;1600;5400;400;2000;500;0;0;0
England;Hove and Portslade;South East;South East;East Sussex;73726;1400;5700;600;700;1400;0;0;100
England;Huddersfield;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;76044;2000;5800;700;800;700;0;0;0
England;Huntingdon;Eastern;East of England;Cambridgeshire;75590;3400;3300;1600;1100;500;0;0;000
England;Hyndburn;North West;North West;Lancashire;69971;2500;5300;300;1400;500;0;0;0
England;Ilford North;London;London;Redbridge;74684;2300;5800;300;800;500;0;0;300
England;Ilford South;London;London;Redbridge;74065;1500;6300;400;600;700;0;0;400
Scotland;Inverclyde and Renfrewshire West;Scotland;Scotland;Glasgow area;70418;800;4700;200;500;300;3400;0;100
Scotland;Inverness, Skye and West Ross-shire;Scotland;Scotland;Highland;76903;1100;2500;2000;500;200;3500;0;100
England;Ipswich;Eastern;East of England;Suffolk;75117;2400;4600;300;1700;700;0;0;100
England;Isle of Wight East;South East;South East;Hampshire;56805;3000;3400;600;1700;1100;0;0;000
England;Isle of Wight West;South East;South East;Hampshire;54911;2600;3900;900;1100;1300;0;0;000
England;Islington North;London;London;Islington;73970;600;5400;600;800;1100;0;0;1300
England;Islington South and Finsbury;London;London;Islington;75905;900;6500;800;600;900;0;0;200
England;Jarrow and Gateshead East;North East;North East;Newcastle area;71106;1200;6000;400;1800;500;0;0;100
England;Keighley and Ilkley;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;72954;2800;5500;300;900;400;0;0;100
England;Kenilworth and Southam;West Midlands;West Midlands;Warwickshire;71541;3600;3200;1100;1300;500;0;0;000
England;Kensington and Bayswater;London;London;Kensington and Chelsea;75980;2200;5400;700;800;700;0;0;200
England;Kettering;East Midlands;East Midlands;Northamptonshire;76163;3200;4400;400;1400;500;0;0;100
Scotland;Kilmarnock and Loudoun;Scotland;Scotland;Ayrshire and Lanark;74801;1100;4200;300;600;200;3400;0;100
England;Kingston and Surbiton;London;London;Kingston upon Thames;75410;1700;1900;5000;800;400;0;0;100
England;Kingston upon Hull East;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;72622;1800;5500;400;1600;700;0;0;0
England;Kingston upon Hull North and Cottingham;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;76039;2000;5100;700;1200;800;0;0;100
England;Kingston upon Hull West and Haltemprice;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;74321;2300;4800;500;1700;500;0;0;100
England;Kingswinford and South Staffordshire;West Midlands;West Midlands;Staffordshire;71896;3900;3000;500;2100;300;0;0;000
England;Knowsley;North West;North West;Merseyside;71228;600;7200;300;800;900;0;0;100
England;Lancaster and Wyre;North West;North West;Lancashire;74992;2300;5700;400;900;600;0;0;0
England;Leeds Central and Headingley;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;75396;800;6200;600;500;1600;0;0;300
England;Leeds East;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;75330;2100;5400;400;1300;600;0;0;100
England;Leeds North East;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;70976;1400;5900;1000;500;800;0;0;200
England;Leeds North West;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;71607;2400;5200;600;800;800;0;0;100
England;Leeds South;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;71376;1700;5900;800;0;1300;0;0;200
England;Leeds South West and Morley;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;74726;2600;5400;300;1100;400;0;0;100
England;Leeds West and Pudsey;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;70270;2100;6200;300;800;500;0;0;100
England;Leicester East;East Midlands;East Midlands;Leicestershire;76465;2100;4600;200;1000;900;0;0;1000
England;Leicester South;East Midlands;East Midlands;Leicestershire;71007;1300;5700;400;600;1600;0;0;400
England;Leicester West;East Midlands;East Midlands;Leicestershire;76992;1900;5100;600;1200;900;0;0;200
England;Leigh and Atherton;North West;North West;Western Manchester;76363;2200;5200;400;1600;400;0;0;100
England;Lewes;South East;South East;East Sussex;75091;2800;1600;4000;900;500;0;0;000
England;Lewisham East;London;London;Lewisham;71706;1100;5800;1100;700;1000;0;0;300
England;Lewisham North;London;London;Lewisham;73504;700;6800;500;300;1300;0;0;200
England;Lewisham West and East Dulwich;London;London;Lewisham;69904;800;7000;400;500;1100;0;0;200
England;Leyton and Wanstead;London;London;Waltham Forest;71330;1200;6400;400;500;1200;0;0;200
England;Lichfield;West Midlands;West Midlands;Staffordshire;74942;3300;3700;500;2000;300;0;0;000
England;Lincoln;East Midlands;East Midlands;Lincolnshire;74128;2400;5200;400;1200;700;0;0;100
England;Liverpool Garston;North West;North West;Merseyside;70372;800;6800;500;800;900;0;0;100
England;Liverpool Riverside;North West;North West;Merseyside;70157;400;6900;500;400;1500;0;0;300
England;Liverpool Walton;North West;North West;Merseyside;75926;600;7400;300;700;800;0;0;100
England;Liverpool Wavertree;North West;North West;Merseyside;71076;600;7000;500;400;1200;0;0;200
England;Liverpool West Derby;North West;North West;Merseyside;70730;600;7300;300;700;800;0;0;100
Scotland;Livingston;Scotland;Scotland;Edinburgh area;75454;1000;4400;400;700;300;3000;0;100
Wales;Llanelli;Wales;Wales;Dyfed;69895;1500;3600;300;1400;300;2600;0;100
Scotland;Lothian East;Scotland;Scotland;Edinburgh area;71287;1000;5400;200;300;300;2400;0;200
England;Loughborough;East Midlands;East Midlands;Leicestershire;73902;2700;5100;300;1100;700;0;0;0
England;Louth and Horncastle;East Midlands;East Midlands;Lincolnshire;75959;3800;3100;500;2200;200;0;0;000
England;Lowestoft;Eastern;East of England;Suffolk;73967;2700;4300;300;2100;500;0;0;0
England;Luton North;Eastern;East of England;Bedfordshire;73266;2000;5600;500;900;700;0;0;200
England;Luton South and South Bedfordshire;Eastern;East of England;Bedfordshire;70197;1800;5200;600;1300;900;0;0;200
England;Macclesfield;North West;North West;Cheshire;75881;2700;5000;500;1300;400;0;0;100
England;Maidenhead;South East;South East;Berkshire;73463;4300;2700;2100;0;700;0;0;100
England;Maidstone and Malling;South East;South East;Kent;73084;3300;3700;1000;1300;500;0;0;000
England;Makerfield;North West;North West;Western Manchester;76517;1900;5500;300;1600;600;0;0;100
England;Maldon;Eastern;East of England;Essex;76794;4000;2400;1200;1900;400;0;0;0
England;Manchester Central;North West;North West;Central Manchester;75311;1000;6700;400;700;1000;0;0;300
England;Manchester Rusholme;North West;North West;Central Manchester;70692;500;6500;0;400;2100;0;0;400
England;Manchester Withington;North West;North West;Central Manchester;71614;600;6600;900;400;1000;0;0;200
England;Mansfield;East Midlands;East Midlands;Nottinghamshire;74680;3000;4200;200;2200;300;0;0;000
England;Melksham and Devizes;South West;South West;Wiltshire;71823;3600;2400;2500;1000;400;0;0;0
England;Melton and Syston;East Midlands;East Midlands;Leicestershire;71615;3600;3500;700;1400;600;0;0;000
England;Meriden and Solihull East;West Midlands;West Midlands;Coventry and Solihull;74211;3600;3800;600;1700;300;0;0;0
Wales;Merthyr Tydfil and Aberdare;Wales;Wales;Mid Glamorgan;74805;1300;5400;300;1500;400;1000;0;100
Wales;Mid and South Pembrokeshire;Wales;Wales;Dyfed;76820;3000;4300;500;800;200;1000;0;000
England;Mid Bedfordshire;Eastern;East of England;Bedfordshire;71748;3400;3500;800;1500;600;0;0;000
England;Mid Buckinghamshire;South East;South East;Buckinghamshire;72240;3600;2600;2100;1100;400;0;0;000
England;Mid Cheshire;North West;North West;Cheshire;69775;2200;5800;400;1100;300;0;0;000
England;Mid Derbyshire;East Midlands;East Midlands;Derbyshire;70085;3100;3900;400;1800;600;0;0;000
England;Mid Dorset and North Poole;South West;South West;Dorset;74305;4400;1800;3400;0;400;0;0;000
Scotland;Mid Dunbartonshire;Scotland;Scotland;Glasgow area;75099;1100;2100;3600;200;500;2300;0;100
England;Mid Leicestershire;East Midlands;East Midlands;Leicestershire;76173;3400;4000;400;1500;500;0;0;0
England;Mid Norfolk;Eastern;East of England;Norfolk;71060;3500;2800;900;2200;500;0;0;0
England;Mid Sussex;South East;South East;West Sussex;72255;3000;2800;2500;1100;500;0;0;000
England;Middlesbrough and Thornaby East;North East;North East;Teesside;71742;1300;5900;400;1500;700;0;0;100
England;Middlesbrough South and East Cleveland;North East;North East;Teesside;69967;3600;5700;300;0;300;0;0;000
Scotland;Midlothian;Scotland;Scotland;Edinburgh area;71210;1200;4700;300;300;0;3300;0;100
England;Milton Keynes Central;South East;South East;Buckinghamshire;76708;2600;4900;700;1000;600;0;0;100
England;Milton Keynes North;South East;South East;Buckinghamshire;70620;2700;4600;600;1400;500;0;0;0
England;Mitcham and Morden;London;London;Merton;76877;1500;6000;500;800;800;0;0;200
Wales;Monmouthshire;Wales;Wales;Gwent;72681;2900;4500;400;1100;300;600;0;000
Wales;Montgomeryshire and Glyndwr;Wales;Wales;Powys;74223;3300;3300;900;1000;400;900;0;0
Scotland;Moray West, Nairn and Strathspey;Scotland;Scotland;Grampian;76237;2600;1800;800;600;300;3700;0;100
England;Morecambe and Lunesdale;North West;North West;Lancashire;76040;3000;4400;700;1500;300;0;0;0
Scotland;Motherwell, Wishaw and Carluke;Scotland;Scotland;Glasgow area;72318;900;4600;300;500;200;3200;0;100
Scotland;Na h-Eileanan an Iar;Scotland;Scotland;Western Isles;21177;1100;2700;200;800;0;4700;0;300
Wales;Neath and Swansea East;Wales;Wales;West Glamorgan;74705;1800;4900;300;1300;500;1100;0;0
England;New Forest East;South East;South East;Hampshire;73823;3900;2800;1000;1300;800;0;0;000
England;New Forest West;South East;South East;Hampshire;71009;3700;2600;1200;1600;700;0;0;000
England;Newark;East Midlands;East Midlands;Nottinghamshire;76478;3500;4000;400;1400;500;0;0;000
England;Newbury;South East;South East;Berkshire;71631;3400;1900;3000;1100;500;0;0;000
England;Newcastle upon Tyne Central and West;North East;North East;Newcastle area;76460;1300;6000;300;1200;900;0;0;200
England;Newcastle upon Tyne East and Wallsend;North East;North East;Newcastle area;76875;1000;6000;600;1200;1000;0;0;100
England;Newcastle upon Tyne North;North East;North East;Newcastle area;76503;1700;5600;1100;1000;500;0;0;100
England;Newcastle-under-Lyme;West Midlands;West Midlands;Staffordshire;70025;2900;4700;400;1400;400;0;0;0
Wales;Newport East;Wales;Wales;Gwent;76159;2300;5100;500;1000;600;400;0;100
Wales;Newport West and Islwyn;Wales;Wales;Gwent;76234;2100;4900;300;1500;500;600;0;100
England;Newton Abbot;South West;South West;Devon;72956;3500;2900;1800;1200;400;0;0;000
England;Newton Aycliffe and Spennymoor;North East;North East;Durham;71299;2500;5000;300;1600;400;0;0;000
England;Normanton and Hemsworth;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;75388;1500;5000;400;2300;700;0;0;0
Scotland;North Ayrshire and Arran;Scotland;Scotland;Ayrshire and Lanark;73588;1500;3500;400;500;400;3400;0;100
England;North Bedfordshire;Eastern;East of England;Bedfordshire;76319;3500;3500;900;1500;500;0;0;0
England;North Cornwall;South West;South West;Cornwall;75034;3600;1500;3300;1300;300;0;0;000
England;North Cotswolds;South West;South West;Gloucestershire;70915;3500;2900;1600;1300;500;0;0;000
England;North Devon;South West;South West;Devon;76455;3000;1500;3300;1600;400;0;0;000
England;North Dorset;South West;South West;Dorset;72109;4200;2200;1700;1300;500;0;0;000
England;North Durham;North East;North East;Durham;73079;1700;5400;600;1700;400;0;0;000
England;North East Cambridgeshire;Eastern;East of England;Cambridgeshire;70806;3400;2600;600;2600;600;0;0;000
England;North East Derbyshire;East Midlands;East Midlands;Derbyshire;72344;3000;4800;200;1400;400;0;0;000
Scotland;North East Fife;Scotland;Scotland;Fife;70452;900;1400;4200;200;300;2900;0;0
England;North East Hampshire;South East;South East;Hampshire;73306;3600;1900;2300;1500;400;0;0;000
England;North East Hertfordshire;Eastern;East of England;Hertfordshire;76849;3200;3800;1000;1400;500;0;0;0
England;North East Somerset and Hanham;South West;South West;Bristol area;73113;2900;4700;700;1200;300;0;0;000
England;North Herefordshire;West Midlands;West Midlands;Hereford and Worcestershire;70894;2900;1500;500;1300;3500;0;0;100
England;North Norfolk;Eastern;East of England;Norfolk;70719;3700;1100;3500;1300;300;0;0;0
England;North Northumberland;North East;North East;Northumberland;72541;2700;4100;1000;1900;300;0;0;000
England;North Shropshire;West Midlands;West Midlands;Shropshire;77052;3100;2500;2100;1800;300;0;0;000
England;North Somerset;South West;South West;Bristol area;73963;3200;4200;800;1000;600;0;0;000
England;North Warwickshire and Bedworth;West Midlands;West Midlands;Warwickshire;70245;3300;4000;300;2000;300;0;0;0
England;North West Cambridgeshire;Eastern;East of England;Cambridgeshire;73556;3200;3600;600;1500;900;0;0;0
England;North West Essex;Eastern;East of England;Essex;76280;3700;2800;1500;1300;600;0;0;000
England;North West Hampshire;South East;South East;Hampshire;76004;3200;2700;1500;1900;600;0;0;000
England;North West Leicestershire;East Midlands;East Midlands;Leicestershire;75373;2500;2900;200;3500;600;0;0;100
England;North West Norfolk;Eastern;East of England;Norfolk;75200;3000;3100;900;2400;500;0;0;0
England;Northampton North;East Midlands;East Midlands;Northamptonshire;75713;2500;5000;500;1200;600;0;0;100
England;Northampton South;East Midlands;East Midlands;Northamptonshire;71512;3000;4400;500;1500;400;0;0;100
England;Norwich North;Eastern;East of England;Norfolk;71441;2300;5100;300;1700;500;0;0;000
England;Norwich South;Eastern;East of England;Norfolk;73201;1400;6100;300;700;1300;0;0;100
England;Nottingham East;East Midlands;East Midlands;Nottinghamshire;75327;1000;6700;300;700;900;0;0;200
England;Nottingham North and Kimberley;East Midlands;East Midlands;Nottinghamshire;74515;2200;5100;400;1700;500;0;0;0
England;Nottingham South;East Midlands;East Midlands;Nottinghamshire;76076;1400;5000;400;1500;1400;0;0;200
England;Nuneaton;West Midlands;West Midlands;Warwickshire;70335;3200;4500;200;1500;400;0;0;000
England;Old Bexley and Sidcup;London;London;Bexley;74317;3800;3900;700;1100;300;0;0;100
England;Oldham East and Saddleworth;North West;North West;Eastern Manchester;72997;2500;5100;500;1100;500;0;0;100
England;Oldham West, Chadderton and Royton;North West;North West;Eastern Manchester;74183;1800;6000;400;900;600;0;0;200
Scotland;Orkney and Shetland;Scotland;Scotland;Orkney and Shetland;34824;800;1500;4500;200;400;2500;0;0
England;Orpington;London;London;Bromley;71571;3800;3400;1100;1100;300;0;0;100
England;Ossett and Denby Dale;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;71595;3000;4600;400;1500;400;0;0;000
England;Oxford East;South East;South East;Oxfordshire;72731;1300;6100;700;0;1700;0;0;200
England;Oxford West and Abingdon;South East;South East;Oxfordshire;72004;1700;2600;4300;700;600;0;0;100
