English	Gloss
stands up and looks inside something	cl.d(5d):frasco cl.e(Hd):RANA-en-frasco cl.e(C):FRASCO
A pig is building what? a house how do he does that? with bundles of straw.	UNO CERDO SECCIÓN(1M) ARREGLAR OBJETIVO CUÁL CASA CÓMO LIGERO MADERA PALO
The wolf moves back.	LOBO cl.c(1):PATAS-retroceder
the dog stealthily	cl.e(5d):PIEDRA cl.e(1):PERSONA-ascender+a-piedra
The boy climbs on the rock	cl.e(2d):PERRO-en-localización cl.e(Bh):LOCALIZACIÓN PERRO B:cl.e(Bh):LOCALIZACIÓN cl.e(2d):PERRO-rodar-localización B:cl.e(Bh):LOCALIZACIÓN
The petals closed.	G:persona-encogerse
(Continues riding) the bike	BICICLETA
The deer runs (furiously)	cl.c(A):patas-correr CIERVO
The (wolf) moves back.	INDX CONTINUAR
(and) saw (the boy on the ground)	MIRAR
and there was a ray of light in the forest and	BOSQUE cl.d(5):nubes-abrirse
And a dog whose sign is this	PERRO SN:perro
He climbs up the ladder	cl.e(2d):PERSONA-ascender-árbol cl.e(5):ÁRBOL
(since) the bottle (it was in) had no lid on it	CRISTAL2 cl.d(B):forma-frasco cl.m(5d):abrir-tapa B:cl.d(B):forma-frasco NADA(1M) B:cl.d(B):forma-frasco
(hitting) a ball	B:cl.m(Xc):sostener-raqueta cl.e(O):PELOTA
"Oh!" Amazing! The two our frog and another they are a couple are wedded.	INDX B:cl.m(Bd):apoyarse-en+tronco MENTE-APAGADA(1M) B:cl.m(Bd):apoyarse-en+tronco LOS-DOS B::cl.m(Bd):apoyarse-en+tronco SN:RANA LOS-DOS PAREJA NOVIO
Tell you a past story?	INFORMAR PASADO(2Msu) HISTORIA
How beautiful!"	INDX cl.m(5d):apoyarse-en+tronco BONITO2
They followed the footprints	cl.c(I):PIE-pisar cl.e(1):PERSONAS-desplazarse
and screams: "Child [his sign]"	GRITAR2 SN:niño
He gets off the bike (and)	cl.e(Xa):BICICLETA cl.e(2d):PERSONA-descender+de-bicicleta cl.e(Bh):BICICLETA
He put the pears in the baskets.	cl.m(Cc&amp;gt;5d):echar-fruta
"One basket of pears has disappeared	DESAPARECER UNO cl.d(B):cesta PERA4
(and) the basket too	CESTO cl.e(A):CESTO-caer
(as) he walks with the other two boys.	cl.e(2):PERSONAS2-desplazarse
The (blond boy) gives a pear for each one.	INDX REGALAR PERA4 UNO UNO
had disappeared. "It can't be" he said.	DESAPARECER PODER3 B:DESAPARECER
I do not recognise this (she thought)	CONOCER NO
(are) the same ones as before	MISMO LO-DE-ANTES
(He lacks) proof	SUSTANCIA
They had seen him	MIRAR
and plucks a pear	cl.m(5d):coger-fruta cl.e(C):SACO
Climbs down	cl.e(2d):PERSONA-descender-árbol B:cl.e(5):ÁRBOL
It hesitates but stays on his hand	cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr cl.d(5d):talud cl.d(2d):talud cl.e(2b):PERSONA-sobre-ciervo cl.e(Hd):CIERVO-correr
The boy extends his hand	cl.c(A):pezuñas-correr
"How strange!" he thought "this can’t be true." 	MENTE-APAGADA RARO
approaching	cl.e(3):PERSONAS3-aproximarse B:cl.c(1):PIERNA
Incredible (they have had) many offspring	SORPRESA NACER cl.e(5):RANAS-fila MENTE-APAGADA
The boy looks at the trunk	HOMBRE B:cl.e(5):ÁRBOL cl.e(5d):PIEDRA B:cl.e(5):ÁRBOL B:cl.e(5d):PIEDRA cl.e(2d):PERSONA-ascender+a-piedra
"I want to ask you the wizard...	INDX.PRO:1sg LLAMAR BRUJO G
went out	cl.e(2d):PERSONA-salir-tienda cl.e(Bd):TIENDA
I'm going to give it to you	DAR(L)(2M)
and he whistled to the boy.	INDX.PRO SILBAR
The wolf approaches quietly	INDX LOBO cl.c(1):PATAS-andar
Lifted the animal in his arms	cl.m(Bd):coger-perro
sees [something] (at the top)	MIRAR
He climbs down the tree	AHORA cl.e(2d):PERSONA-descender+de-árbol B:cl.e(5):ÁRBOL
The dog is on all fours	HOMBRE PEQUEÑO2 BUSCAR(2Msu)
Next to the frog	MIRAR
The dog (follows them in parallel) barking:	PERRO GRITAR2
What did the three do?	LOS-TRES
is a row of frogs	B:MIRAR ASUSTAR(2M)
by the wolf.	MOTIVO LOBO SOPLAR
The child [his sign] sees them	INDX HOMBRE SN:niño MIRAR
I think waiting is good" thought Kuma.	PENSAR(2Msu) BIEN(2M) ESPERAR2(2M)
"I'm going to go to consult the wizard."	INDX.PRO:1sg MENTE IR CASA BRUJO G
"I want one of these pears from the basket" (he thought).	INDX B:ÁRBOL QUERER B:ÁRBOL INDX B:ÁRBOL PERA2 B:ÁRBOL INDX B:ÁRBOL G:¿cómo-puedo-hacer? B:ÁRBOL
(Arua) walked	CAMINAR(MP)
And just then...	CASUAL
(and a) girl on a bike meet	MUJER cl.e(Xa):BICICLETA cl.e(Xa):BICICLETA-aproximarse-bicicleta BICICLETA cl.e(Xa):BICICLETA-aproximarse-bicicleta
The two brothers (stay) silent: "Aha	LOS-DOS HERMANO SILENCIO MIRA-TÚ
and the dog meanwhile was walking through the forest.	SN:PERRO MIENTRAS cl.e(Hd):PERRO-desplazarse+de-suelo cl.e(Bh):SUELO
"Frog where are you?"	RANA SN:rana DÓNDE
"How [can this be possible]?	CÓMO
Can we start?	EMPEZAR
They woke up with the frog in mind	DESPERTAR MENTE^OBJETIVO SN:RANA B:MENTE^OBJETIVO
the house is safe."	TRES YA VER TRANQUILO G
The boy sees the hive	BUSCAR(2Msu)
He looked back at the man.	MIRAR B:ÁRBOL
The boy from above: "Don't make noise"	cl.e(1):PERSONA-correr
and the owl pursues him	cl.d(A&amp;gt;5h):frasco-estallar
	MIRAR(2M)
and sees something down	cl.e(1):PERSONA-desplazarse-con+perro cl.e(2d):PERRO-desplazarse-con+persona
the child falls to the ground	cl.e(2d):PERSONA-caer
The brother is surprised: Oh!	HOMBRE- (CNM)
at a certain distance the dog also runs	HOMBRE MIRAR(MP)
(The two pigs desperately) run	G(5):desesperación CORRER(5)
(when) another girl also on a bike approached	MUJER OTRO MUJER PEQUEÑO2 TAMBIÉN BICICLETA cl.e(Bl):BICICLETA-aproximarse-bicicleta
I('ll try) again" (thinks the wolf).	OTRA-VEZ
walking past him	cl.e(3):PERSONAS3-alejarse
approaches	cl.e(Bl):BICICLETA-aproximarse BICICLETA
that bounces back and forth;	B:cl.m(Xc):sostener-raqueta cl.e(O):PELOTA-botar
I’m going to tell (this story).	INDX.PRO:1sg EXPLICAR
This is why he fell	MOTIVO CAER
searching among the grass it discovered something	cl.m(5h):rebuscar-en+hierba INDX
"Dog [his sign] silence wait"	SN:perro SILENCIO ESPERAR2
all by himself	CONTINUAR G:a-su-manera
and was walking away (but)	ALEJARSE cl.m(5d):agarrar-rana G:cambio-de-parecer B:cl.m(5d):agarrar-rana
and the girl continued (as if nothing had happened)	AHORA INDX MUJER ALEJARSE
The two fall down	cl.e(Ap&amp;gt;2d):PERRO-caer+con-persona cl.e(Ap&amp;gt;2d):PERSONA-caer+con-perro
(She was) a little pretentious	IGUAL PRESUMIDO
and hits a stone	PIEDRA cl.e(Xa):BICICLETA-chocar-piedra cl.e(Xa):PIEDRA
picking pears	COGER PERA4(Xc)
It surely must be there	INDX ES.SEGURO
In the meantime the man who was up in the tree climbed down.	G:mmm OTRO HOMBRE cl.e(2d):PERSONA-ascender+a-árbol cl.e(5):ÁRBOL cl.e(2d):PERSONA-descender+de-árbol cl.e(5):ÁRBOL
"There is the house	VER CASA
They escape each running away on its own	ALEJARSE(2Msu)
Upon receiving the fruit the boy thanked him	cl.m(5d):agarrar-fruta GRACIAS(1M) B:cl.m(5d):agarrar-fruta
And a frog whose sign is this [sack-vowel-of-frog].	OTRO ANIMAL RANA SIGNO SN:RANA
"Hey the wolf is coming" (it thought).	VENIR B:cl.m(A):apoyarse-ventana LOBO(1M) B:cl.m(A):apoyarse-ventana INTENSO B:cl.m(A):apoyarse-ventana
In the meantime the man in the tree was oblivious to everything	HOMBRE B:cl.e(Bh):SUELO cl.e(1):PERSONA-localización B:cl.e(Bh):SUELO MENTE^NORMAL
(and) puts them in his apron pocket.	cl.d(C):bolsillo-delantal cl.m(5d&amp;gt;5):coger+guardar-fruta cl.d(C):bolsillo-delantal
(The one with the racquet) continues to play with the ball	CONTINUAR cl.m(Xc):accionar-raqueta cl.e(O):PELOTA-botar cl.m(Cc):sostener-raqueta CONTINUAR
(The boy is) angry	RABIA B:cl.m(C):sostener-perro
I will do it a second time.	OTRA-VEZ B.L(2) INDX:segundo
They approached the boy	cl.e(3):PERSONAS3-aproximarse
and the house is torn down.	cl.e:CASA-desintegrarse
Strolling along	PASEAR
and an apron	cl.d(Xa):tira-delantal
The (child is riding) a bike	INDX BICICLETA
"Silence"	SILENCIO ESPERAR2
The man (is) working picking pears	HOMBRE PERSONA TRABAJAR PERA4(Q)
No (it was the) other (boy): the boy on the bicycle.	NO OTRO2 HOMBRE BICICLETA
naked.	G:conmovido DESNUDO G:conmovido
"Brother	AVISAR
to think: "Weird"	PENSAR RARO G:pensar
This village was among lush mountains.	MONTAÑA BOSQUE PUEBLO cl.e(Xa):localización-pueblo
there is a hive in one of the trees	cl.m(C):colocar-frasco
because he was strong and brave.	FUERTE DEPORTE
and breaks into pieces	cl.d(A&amp;gt;5):frasco-desintegrarse
The boy goes with the dog	SN:niño cl.e(1):PERRO-desplazarse+con-persona cl.e(1):PERSONA-desplazarse+con-perro
There was a fallen tree	ÁRBOL EMPUJAR cl.e(1):ÁRBOL-caído cl.e(Bh):SUELO
He placed his hands	SN:NIÑO cl.m(5):apoyarse-en+tronco
"The three pigs and the wolf".	TÍTULO TRES CERDO OTRO UNO LOBO
I will let you know	RESPONDER
The boy gave him three pears in appreciation for having recovered his hat.	HOMBRE TRES LO-DE-ANTES COMPENSACIÓN GRACIAS SOMBRERO TRES PERA cl.m(5d):dar-fruta cl.m(5d):dar-fruta
looks (mischievously at the man)	MIRAR
(The wolf) moves back.	G:respirar cl.c(1):PATAS-retroceder
The (third brother): "Relax	INDX TRANQUILO
on his bike	cl.e(2b):PERSONA-ascender+a-bicicleta cl.e(1):BICICLETA
He was asleep and	G:dormido DORMIR G:dormir
The child thanked them	HOMBRE G SENTIR GRACIAS G
(The man) is plucking pears	B:cl.e(5d):PERAS-en-árbol cl.m(5d):coger-fruta cl.m(5d):guardar-fruta B:cl.m(5d):coger-fruta
The next day at sunrise	DÍA AMANECER
I will take care of the seven and this girl.	SIETE MÁS.SUMA INDX MUJER INDX CUIDAR
One of the (terrified) pigs look out the window.	INDX CERDO UNO VENTANA cl.m(A):apoyarse-ventana
"(What) does (Arua) want?	QUERER G:interrogativo
An animal comes out of the burrow and slams her face	cl.e(5d&amp;gt;Cc):ANIMAL-ascender-madriguera cl.e(C):MADRIGUERA
(The child) looks at him	MIRAR
The fruit falls	cl.d(5):peras-caer+colectivo
He calls out (to it)	GRITAR2
The father (was) behind them hiding and	PADRE cl.e(1):PERSONA-detrás-localización cl.e(1):LOCALIZACIÓN ESCONDER
Arua fell asleep inside the flower	DORMIRSE
"I will help you.	INDX.PRO:1sg AYUDAR
They began to put back all the pears in the basket.	cl.m(5):echar-fruta PERA B:cl.m(5):echar-fruta cl.m(A&amp;gt;5):echar-fruta cl.m(5):echar-fruta cl.m(A&amp;gt;5d):echar-fruta-en+cesta cl.e(Xc):CESTA cl.m(5d):echar-fruta cl.m(A&amp;gt;5d):echar-fruta
working away	TRABAJAR
The dog sees a hive at the tree top	PERRO MIRAR ÁRBOL COLMENA
(The child) sees something (in the distance)	MIRAR
"It’s quite clear! You had adopted her	G:brujo G:evidencia INDX.PRO:2sg INDX.PRO:3sg cl.m(5d):coger-persona
I should not decide she should".	INDX.PRO:1sg SENTIR NO INDX.PRO
the boy continued pedalling spellbound	HOMBRE cl.m(A):agarrar-manillar BOBO B:cl.m(A):agarrar-manillar cl.m(A):agarrar-manillar
and the dog ran away.	SN:PERRO cl.c(B):garras-correr ALEJARSE
"Shhh! Wait"	SILENCIO ESPERAR2
(checks that the man is not looking at him)	B:cl.e(2b):PERSONA-ascender+a-bicicleta
They had seen the whole scene	MIRAR B:cl.c(1):PIERNA TODO PELÍCULA PASADO
I will give you shelter and take care of you.	INDX.PRO:2sg B CASA CUIDAR INDX.PRO:2sg
Just then three children come by	CASUAL INDX NIÑO HOMBRE TRES PEQUEÑO2 TRES cl.e(3):PERSONAS3-aproximarse
The wolf (stays) calm:	LOBO TRANQUILO
The house does not move	cl.e:CASA
(He pulls) up one sock	cl.d(B):calcetín-subido cl.c(B):pierna
"Do you have [another solution]?	HABER G:interrogativo
into the distance.	PERRO B:cl.e(Xa):ONDA-abrirse cl.e(2b):PERRO-caer-charco B:cl.e(Xa):ONDA-abrirse cl.d(5d):poza-agua
I've heard it	ESCUCHAR(2)
and when he was relaxed an animal emerged.	G:niño-relajarse cl.e(2b):PERSONA-sobre-entidad cl.e(1):ENTIDAD-ascender
The two (siblings) continue talking	LOS-DOS CÓMO CONTINUAR CONTACTO
(suddenly) the branches begin to move	cl.m(A):agarrar-ramas
and screams	GRITAR2
They will catch	COGER
into the distance.	ALEJARSE
The eldest son went again to Kuma	INDX.PRO:3sg OTRA-VEZ INDX.PRO:3sg HIJO MAYOR G:acercar-Kuma
is frightened	G(5)(2M):asustarse
It wants to eat the three pigs all three of them.	QUERER TRES CERDO COMER TODO QUERER G(B):vale
(The child) looks (on the floor)	MIRAR
takes the dog in his arms	cl.m(C):coger-perro
The dog also looks at the trunk	MIRAR
in the distance.	B:cl.c(A):pezuñas-caminar cl.e(1):localización-cabra
zig zagging along.	cl.e(Bl):BICICLETA-desplazarse-suelo cl.e(Bh):SUELO cl.e(Xa):BICICLETA-desplazarse-suelo B:cl.e(Bh):SUELO
(The man) looked at them	MIRAR
and playing (with the frog)	JUGAR
He woke up.	DESPERTAR
Stop it will be safe".	TRANQUILO ES.ASÍ(1M) B:TRANQUILO ES.SEGURO
harvesting	CONTINUAR
They continued on their way	CAMINAR(MP)
Are you happy for adopting her?"	INDX.PRO:2sg FELIZ cl.m(5d):coger-persona G:prosódico
When the seven looked at the flower	cl.e(2):PERSONAS7-girarse+mirar cl.e(5):PERSONAS7-girarse+mirar
to take a step	cl.c(B):pies-andar
with bees swarming	BUSCAR(2Msu)
"Hello" (says joker).	G:mímica-lobo SALUDO
The [other] boy receiving the pears said "Thank You"	HOMBRE cl.m(Bd)sostener-peras GRACIAS(1M) B:cl.m(Bd)sostener-peras G
The dog sniffs the jar	PERRO MIRAR- cl.e(2d):PERRO-entrar-frasco cl.e(B):FRASCO
The frog pulled itself out the mouth of the jar	INDX SN:RANA cl.e(2d):RANA-salir-frasco cl.e(C):FRASCO
The dog which was barking was likewise thrown	PERRO B:cl.e(Bh):CIERVO LADRAR B:cl.e(Bh):CIERVO cl.e(2d):PERRO-caer cl.e(Bh):CIERVO
Let me explain	INDX.PRO:1sg EXPLICAR
"It was the dog when it jumped out the window" (he said) and (also) jumped out.	cl.e(2d):PERRO-descender+de-ventana B:cl.e(B):VENTANA INDX B:cl.e(B):VENTANA cl.e(2d):PERRO-descender+de-ventana B:cl.e(B):VENTANA
The two men: "were right 	cl.e:HUMO-alejarse-localización cl.e(B):LOCALIZACIÓN
along the road	cl.e(Xa):BICICLETA-sobre-suelo cl.e(Bh):SUELO
Just like his father (the man on the tree)	IGUAL2 PADRE(2p) INDX.AUX cl.e(1):PERSONA
behind which were some branches.	hhh cl.d(1):ramas
"It is in this tree	ÁRBOL INDX
The wolf ignores (this)	cl.d(5d):olla-grande AGUA B:cl.d(5d):olla-grande cl.m(A):botella-echar-agua B:cl.d(5d):olla-grande LLENAR B:cl.d(5d):olla-grande
Incredible	MENTE-APAGADA
"I’m going to prepare myself wait".	AHORA PREPARAR(1M) AHORA cl.c(1):PATAS ESPERAR2 B:cl.c(1):PATAS
(Kuma) went to the wizard’s house again.	OTRA-VEZ IR CASA(M-AB) BRUJO
approaching	cl.c(A):pezuñas-caminar
(There are) three baskets.	cl.d(5):cesta cl.d(5):cesta cl.d(5):cesta TRES HABER
The blond boy (is) sitting:	HOMBRE RUBIO SENTAR
and she stopped again	OTRA-VEZ PARAR
the moon lit up over her.	cl.d(Lc&amp;gt;L&amp;gt;Lc):luna-forma LUZ
and then climbs down the tree	cl.e(2d):PERSONA-descender-árbol cl.e(5):ÁRBOL
because (the handlebar) was heavy.	IGUAL PESADO
they sting!	cl.e(Lc):AVISPA-chocar-brazo cl.c:brazo G(5):dolor
(and suddenly) a pear falls to the ground.	cl.e(1):TRAIECTORIA-caer
passed by with the leash in hand	cl.m(Xc):agarrar-corea
He put the basket (on the handlebar).	hhh PERA cl.m(Xc):colocar-cesta cl.m(Xc):colocar-cesta
(The wolf) is coming!"	AHORA VENIR
in short.	CORTO
I felt sorry for that child and	PENA PEQUEÑO2 G
"Look brother I won 	VER HERMANO PRIMERO B:HERMANO
What a disappointment	IRREVERSIBLE B:cl.e(C):FRASCO
where the deer stops suddenly.	cl.e(Lc):INSECTOS-volar
searches everywhere	BUSCAR(2Msu)
The seven headed (towards the flower).	cl.e(2):PERSONAS7-aproximarse cl.e(5):PERSONAS7-aproximarse
The dog is looking for it	INDX? SN:perro BUSCAR(2Msu)
And as they move away	ALEJARSE
(and when it was) full	cl.d(5):peras-superficie LISTO
Hello!	HOLA
Moreover (your) seven sons will miss (her) company	MÁS.SUMA HIJO SIETE NECESITAR(MP) AVAL
I have assigned him this sign.	SIGNO DAR(2M) SN:KUMA
not concerned about anything	MENTE^NORMAL
(There are) three pigs	TRES HERMANO- CERDO TRES
and screams within her	cl.e(C):MADRIGUERA
who falls from the tree to the ground	cl.e(2d):PERSONA-caer+de-tronco cl.e(5):TRONCO ACABAR
eating the fruit	cl.m(5d):agarrar+comer-fruta
The two houses of your two brothers his and mine have disappeared" (they say nervously).	HERMANO DOS INDX SEGUNDO PROPIO LOS-DOS HERMANO CASA DESAPARECER
searching	BUSCAR(2Msu)
still annoyed	RABIA B:cl.d(C):piedra-forma
was the village chief	UNO cl.e(1):PERSONA RESPONSABLE JEFE
(and) continued collecting pears.	cl.m(5d):coger+guardar-fruta cl.e(B):SACO
he felt sorry for the girl.	CORAZÓN.FORMA cl.d(5d&amp;gt;A):encogerse-corazón
They look at the jar surprised	cl.d(5d):frasco RANA cl.e(Hd):RANA-en-frasco cl.e(C):FRASCO
It stays upright.	cl.e:CASA
This son and the other sons (asked themselves): "How do we resolve this?	INDX.PRO:3sg INDX.PRO:3sg HIJO OTRO G:interrogativo CÓMO SOLUCIÓN CUÁL
Kuma took Arua home and looked after her.	G:Kuma cl.m(C):colocar-persona
They walked in a row following the footsteps	cl.c(I):PIE-pisar cl.e(1):PERSONAS-desplazarse
Find where it is	BUSCAR(2Msu) DÓNDE
"I feel happy	G:pensativo SENTIR CONTENTO
Listen [something]	ESCUCHAR(2) B:G(5):calma
He rises	cl.e(2b):PERSONA-levantarse-suelo cl.e(Bh):SUELO
and gallops with the boy bouncing about	cl.e(Hd):PERRO-saltar+hacia-árbol B:cl.e(5):ÁRBOL
The man (is) up in the tree	HOMBRE cl.e(2d):PERSONA-ascender-árbol cl.e(5):ÁRBOL
"Hello” (says the wolf mockingly).	SALUDO
(to) keep things in	COSA ARROJAR(2Msu)
"I will take advantage of the chimney" (thinks the wolf).	INDX B:cl.e:CASA APROVECHAR B:cl.e:CASA
(way up in the) tree (top)... (there are many) pears	ÁRBOL cl.e(5):ÁRBOL hhh PIEDRA- PERA4 PERA4(Q) cl.e(5d):PERAS-en-árbol cl.e(C):ÁRBOL-tronco
The child on the bike approached  pedalling at a good pace.	cl.e(Xa):BICICLETA-aproximarse cl.e(B):SACO BICICLETA HOMBRE B: BICICLETA BICICLETA BICICLETA
It was the pear that had fallen earlier.	LO-DE-ANTES cl.e(Cc):FRUTA-caer-suelo cl.e(Bh):SUELO INDX
(but) leaves it (in the basket)	cl.m(5d&amp;gt;5):echar-fruta
A flower blossomed in front of the dumbfounded Arua	FLOR cl.e(Cc&amp;gt;5d):FLOR-abrirse
The frog looked out	cl.e(2d):asomarse-frasco cl.e(B):FRASCO
The dog is behind him // both stare for a while.	B:cl.e(Hd):PERRO-huir-abejas cl.e(1):PERSONA-correr
The seven were transformed into butterflies and	cl.e(2):PERSONAS7-moverse cl.e(5):PERSONAS7-moverse MARIPOSA
of a similar age to the boy.	IGUAL2(1M) EDAD ALTURA-SEMEJANTE LOS-DOS B:ALTURA-SEMEJANTE
Each one has a different character.	CADA-UNO TIPO DIFERENTE
"Here three pears for helping me."	TRES PERA4(Xc) AYUDAR MOTIVO G
loaded with pears	cl.m(4d):agarrar-delantal AHORA B:cl.m(4d):agarrar-delantal cl.m(4d):agarrar-delantal
one noticed	UNO MIRAR
and they will surely go looking for her.	BUSCAR(2Msu) ES.SEGURO(1M) G
There is a solution and	HABER UNO
(continues) looking	MIRAR
Calm down I will help you."	TRANQUILO AYUDAR
There is the second house" thought the wolf.	MIRAR B.L(2) INDX:segundo INDX B:INDX:segundo cl.e:CASA
The boy dangles between the deer’s horns during the gallop	cl.e(Hd):PERRO-levantarse+hacia-árbol B:cl.e(5):ÁRBOL
