English	Gloss
It is a deer	B:cl.e(1):PERSONA-desplazarse-con+perro B:cl.e(2d):PERRO-desplazarse-con+persona
"Blown down? Really?" (it asked the brother puzzled).	HERMANO B:HERMANO SOPLAR(2M) MIRA-TÚ
picks up a pear	cl.m(5d):coger-fruta
(approaches and) looks out the window	MIRAR VENTANA
and climbs on the roof	COCINAR
"Wait!"	ESPERAR2 B:cl.e(Xa):BICICLETA ESPERAR2 B:cl.e(Xa):BICICLETA
The house is shaken.	cl.e:CASA-moverse
"Shh! I've heard the frog it is there." 	ESCUCHAR B:G:perro INDX G:pausa G:pausa B:G:pausa SILENCIO B:G:pausa ESCUCHAR B:G:pausa HABER B:G:pausa SN:RANA B:G:pausa INDX B:G:pausa
(In an) orchard	cl.e(5):ÁRBOL-fila-suelo cl.e(Bh):SUELO
Then came another person a boy wearing a hat on a huge bike.	OTRO B:cl.e(B):SACO VENIR B:cl.e(B):SACO UNO B:cl.e(B):SACO HOMBRE B:cl.e(B):SACO PEQUEÑO2 B:cl.e(B):SACO CON SOMBRERO CON BICICLETA ENORME B: BICICLETA BICICLETA BICICLETA cl.m(A):agarrar-manillar
A hidden burrow. It approached the burrow and called: Frog!"	cl.d(1):madriguera-forma cl.e(C):MADRIGUERA cl.d(5):hierba-sobre-madriguera B:cl.e(C):MADRIGUERA cl.d(1):madriguera-forma B:cl.e(C):MADRIGUERA LLAMAR B:cl.e(C):MADRIGUERA GRITAR2 B:cl.e(C):MADRIGUERA
(there is) a man	HOMBRE PERSONA
and decided to pick her up.	G:pensar cl.m(5d&amp;gt;A):coger-persona
A dog whose sign is this [dog-ear]	OTRO PERRO SIGNO SN:PERRO
In a field between green mountains	PAISAJE VERDE B:PAISAJE cl.d(5):hierba-recubriendo-monte B:PAISAJE CAMPO cl.e(L):CAMPO-localización
The one made with bricks".	INDX CONSTRUIR MIRAR
"the house is there" (it calculates).	INDX cl.e:CASA
(It is making it) with bricks	CONSTRUIR
The boy had fallen	HOMBRE PEQUEÑO2 CAER
He began picking pears to pack into the sack he was carrying.	cl.m(5d&amp;gt;5):coger+guardar-fruta cl.e(B):SACO
until it breaks apart.	cl.e:CASA-desintegrarse
"Warning!: 	G B:ESCUCHAR(2M) AVISAR B:ESCUCHAR(2M)
(and) (the boy’s) hat fell off.	cl.e(Xa):sombrero-caer
(and was) riding (her bike)	BICICLETA
searched everywhere	MIRAR(2M)
The child on a bike yes him	INDX LO-DE-ANTES INDX BICICLETA ALEJARSE INDX
My seven children want to fight each other to death	INDX.PRO:3pl PROPIO(2M) SIETE HIJO QUERER MORIR(2Msu)
(the ones I mentioned) before	PASADO(2Msu) INDX
but it is very painful	ENTONCES DOLOR FUERTE
The dog looks at him from below without moving	cl.e(55):AVE-volar B:cl.e(55):AVE-volar cl.e(1):AVE-localización VOLAR
in the mean time wait."	ESPERAR2(2M)
(The wolf) continues blowing	cl.d(5):flujo-aire cl.d(5):suelo
The construction is solid" (said the third pig).	CONSTRUIR PIEDRA
and blows.	SOPLAR(2M)
Kuma: "Wait wait."	G:impresionado SN:KUMA G:impresionado
A long time ago in Central America in Nicaragua in that country.	PASADO(2Msu) CENTROAMÉRICA DÓNDE B:CENTROAMÉRICA SIGNO B:CENTROAMÉRICA NICARAGUA DL:NICARAGUA INDX.DEM PAÍS
The dog also peered	TAMBIÉN B:cl.e(Bh):TRONCO SN:PERRO B:cl.e(Bh):TRONCO cl.e(2d):PERRO-ascender+a-tronco cl.e(Bh):TRONCO
and does not move.	cl.e:CASA B:cl.e:CASA
When I saw (the child) I had felt sorry for her	PASADO MIRAR
its jaw gets dislocated.	CARA cl.e(Xa):MANDÍBULA-descender
He takes three (pears from the basket)	cl.m(5d):coger-peras TRES
"I have hurt my knee badly!"-he said in pain and began to rub it.	DOLOR B:cl.e(Bh):SUELO G:¡uuuy! B:cl.e(Bh):SUELO DOLOR B:cl.e(Bh):SUELO INDX cl.c(1):PIERNA G:frotarse-rodilla DOLOR cl.c(1):PIERNA FROTAR B:cl.c(1):PIERNA
It sniffs	PERRO B:BUSCAR(2Msu) cl.e(C):frasco B:cl.e(C):frasco
The owl glides towards the boy	cl.e(1):PERSONA cl.e(2d):PERRO B:cl.e(1):PERSONA cl.e(2d):PERRO
The boy and dog are looking astonished at the frog.	CIERVO cl.e(2b):PERSONA-sobre-cabeza+ciervo B:CIERVO
The man continued plucking pears.	cl.m(5d):coger+guardar-fruta cl.e(B):SACO
He looks up (into the tree)	MIRAR
The man was at the tree top	cl.e(2d):PERSONA-ascender+a-árbol cl.e(5):ÁRBOL
(There are only) two now...	DOS G:incomprensión
The two (were) looking (at the jar)	SN:NIÑO B:cl.e(C):FRASCO cl.e(1):PERSONA B:cl.e(C):FRASCO PERRO B:cl.e(C):FRASCO MIRAR(2M) MIRAR cl.e(C):FRASCO
"Now for the last and third house (to fall) for sure.	AHORA ÚLTIMO B.L(3) INDX:tercero ES.SEGURO(1M) B:INDX
with its snout inside	cl.c(A):cabeza-entrar-frasco cl.e(C):FRASCO
eating pears	PERA4(Xc) cl.m(5d):agarrar+comer-pera
(and starts) pedalling	BICICLETA
Looks up (at the man)	MIRAR
He continues working	TRABAJAR CONTINUAR
An owl comes out from within	RAPAZ^VOLAR cl.c(O):OJOS-acercarse
The dog (which is near) is also looking	PERRO SN:perro MIRAR
G	G:impotencia
empties the contents of the apron pocket in the basket	cl.m(5&amp;gt;A):coger-bolsillo cl.m(A):vaciar-bolsillo
and is stunned.	MENTE-APAGADA
"Kill Arua it should be better for you."	G:pausa INDX.PRO:2sg SN:ARÚA INDX.PRO:2sg BIEN INDX.PRO:3sg MORIR(MP) INDX.PRO:3sg
You will be called Arua."	INDX NOMBRE DL:ARUA
Looks inside a boot	BOTA MIRAR
Kuma: "Wait wait."	ESPERAR2(2M)
(because) the owl had besieged him	INDX RAPAZ^VOLAR cl.e(2d):BÚHO-acercarse
The child climbed up on a stone	INDX PIEDRA cl.d(5d):piedra cl.d(5d):piedra cl.e(2d):PERSONA-ascender+a-piedra cl.e(5d):PIEDRA
where its brother had entered.	LO-DE-ANTES HERMANO INDX DENTRO
 It is solid".	CASA FUERTE
The boy... the three boys approach (the blond boy)	INDX MUJER HOMBRE PEQUEÑO2 TRES cl.e(3):PERSONAS3-aproximarse
Kuma (continued to) think about the solution.	SOLUCIÓN PENSAR(2Msu)
"it hurts" (a lot...)	DOLOR G
and playing.	JUGAR
"This is weird! Very confusing!" He said unbelievingly	COMPLICADO POCO B:COMPLICADO COMPLICADO
The child and the dog slept until sunrise	INDX DORMIR(MP) HASTA DÍA
and swirl around	cl.e(Lc):AVISPAS-volar
and handed it over.	YA B:cl.m(Q):agarrar-sombrero cl.m(Q):dar-sombrero
"How can that be?"	cl.e(C):FRASCO G:incomprensión B:cl.e(C):FRASCO MENTE-APAGADA
and playing (with the frog)	JUGAR
(The wolf) takes a deep breath	RESPIRAR
until the ruminant stopped	cl.m(A):agarrar-cuernos
There was a village.	INDX.DEM PUEBLO
The three brothers... the two: "Look Up Up Up Up!"	VER TRES HERMANO hhh DOS VER INDX
which is in a glass jar	DENTRO CRISTAL2 cl.d(B):frasco-forma
It turns red from the effort	INTENTAR ROJO B:INTENTAR RUBOR B:INTENTAR
and	cl.m(Xc):accionar-raqueta
and a scarf on his neck	PAÑOLETA
The two brothers are trembling with fear	DOS HERMANO G(1d):miedo cl.c(1):PATAS-temblar MIEDO cl.c(1):PATAS-temblar
He looked at her spellbound.	MIRAR B:cl.m(A):agarrar-manillar BOBO B:cl.m(A):agarrar-manillar
cleans the pear with it	B:cl.m(5d):agarrar-fruta cl.m(E):limpiar-fruta
and very pretty	BONITO^MARAVILLA
and put it in the basket with care.	cl.m(4d):colocar-fruta cl.m(C):colocar-fruta PREPARAR LISTO
Climbs up...	cl.e(2d):PERSONA-ascender-árbol B:cl.e(5):ÁRBOL
and it licks his face	cl.c(B):LENGUA-lamer cl.m(C):sostener-perro
Whether she wants to marry or not.	SENTIR SÍ-O-NO INDX CASAR
and picking fruit	cl.m(5d&amp;gt;5):coger+guardar-fruta cl.e(B):SACO
and to get to the bottom... "Burning hot!" (shouts the wolf).	cl.e(2d):PERSONA-sobre-chimenea B:cl.e(C):CHIMENEA
"Brother	INDX LLAMAR INDX
The child hears something	INDX ESCUCHAR(2) INDX G(5):calma
(The dog) barks	GRITAR2
who was crying and	cl.c(5d):OJOS-llorosos
The seven looked for Arua around the place	BUSCAR(2Msu) cl.e(2):PERSONAS7-desplazarse cl.e(5):PERSONAS7-desplazarse G:hijo-buscando cl.e(2):PERSONAS7-desplazarse cl.e(5):PERSONAS7-desplazarse
They both look at (the third brother).	MIRAR(2M) DOS
(and) they leave.	ALEJARSE cl.m(Bd)sostener-peras
It was completely dark.	G:pensar-narrador OSCURO NEGRO G:prosódico
because a swarm starts to leave the hive	cl.d(5d):avispas-desplazarse
My house has been blown down	INDX.PRO:1sg PROPIO CASA ROMPER
puts it in the apron...	cl.m(5d):guardar-fruta B:cl.e(C):SACO
take [?]	COGER
It falls out the window	cl.e(2d):PERRO-caer+de-ventana cl.e(Bh):VENTANA
and puts his head inside	cl.m(B):apoyarse-tronco
(and decides) to return.	VOLVER
The boy cycled hooking his gaze (at the girl)	MIRAR
with Arua inside.	G:flor-cubrir-cabeza cl.e(Cc):FLOR-cerrada-persona cl.e(1):PERSONA
The house of straw bundles is already finished."	CASA PALO YA LISTO
You are working (very hard)" said the pig.	G:demasiado TRABAJAR
(while) walking	cl.e(1):PERSONA-alejarse
(The wolf) moves back.	cl.c(1):PATAS-retroceder
(but) she saw (nothing)	VER-MAL
with the deer gazing at him the boy is scared and leaps	INDX ÁRBOL(1M) cl.d(Qd&amp;gt;Q):colmena-en-árbol cl.e(5):ÁRBOL
There was a dark hole in a tree	INDX B:CONTINUAR ÁRBOL cl.d(1):hueco-forma cl.d(C):hueco-en-tronco OSCURO
He is in the middle of the river	cl.e(55):AVE-volar
will get married to Arua.	CASAR INDX.PRO:3sg SN:ARÚA G
The boy falls off the stag’s back into a river	cl.e(Hd):PERRO-girarse+hacia-árbol cl.e(5):ÁRBOL
blows (strongly).	SOPLAR
is surprised.	MENTE-APAGADA
"just one" (he thought)	INDX.LOC B:ÁRBOL UNO B:ÁRBOL B:UNO cl.m(5d):coger-fruta NO B:cl.m(5d):coger-fruta
I would like to ask her again to marry me"	QUERER DECIR OTRA-VEZ CASAR
and cycled away	B:cl.m(Xc):colocar-cesta LISTO
I could not understand how (this was possible)	SN:NIÑO B:cl.m(A):agarrar-cuernos MENTE^APAGAR cl.m(A):agarrar-cuernos MOTIVO B:cl.m(A):agarrar-cuernos cl.m(A):agarrar-cuernos
A girl happened to also pass by on a bike	CASUAL B:cl.m(A):agarrar-manillar MUJER B:cl.m(A):agarrar-manillar OTRO B:cl.m(A):agarrar-manillar BICICLETA
The boy climbs on the rock	cl.m(Bd):coger-perro
wearing a hat	cl.d(Xa):sombrero
and he had stood on its back!	cl.e(1):PERSONA-sobre-ciervo cl.m(A):agarrar-cuernos G:estupefacción B:cl.m(A):agarrar-cuernos
Let me explain.	INDX.PRO:1sg EXPLICAR
(when) the girl disappears into the distance.	MUJER ALEJARSE
The wolf climbs on the roof.	TREPAR cl.e(2d):PERSONA-ascender+a-casa cl.e:CASA
on two legs	BUSCAR
There in a row	cl.e(2d):RANAS-fila
(Arua) walked	CAMINAR(MP)
The third (brother): "I know	hhh B.L(3) INDX:tercero SABER
"Yes now it is coming (to your house)".	(CNM) AHORA TURNO
"Wait!"	ESPERAR2 B:cl.m(Q):coger-sombrero
They continued on their way	TRES cl.e(3):PERSONAS3-desplazarse
but he continued pedalling without taking his eyes off her	cl.m(A):agarrar-manillar
unties his scarf	cl.m(5d):agarrar-fruta cl.m(Xc):desatar-pañoleta
They run to the bottom of a slope	cl.e(Lc):INSECTO-volar B:cl.e(5):ÁRBOL
(and starts) pedalling	BICICLETA
The boy escapes	cl.e(2d):PERRO-caer+de-ventana cl.e(Bh):VENTANA
while the child galloped on the back of the deer	SN:NIÑO cl.e(2d):PERSONA-botar-ciervo cl.e(Bh):CIERVO cl.c(A):pezuñas-correr
There is a wooden house	HABER CASA MADERA
There were a few foot prints in the ground	cl.c(I):PIE-pisar LO-DE-ANTES
(and) scattered on the floor.	DIFUNDIR
(He was walking) with a goat	CON CABRA
The two... three of them are siblings.	LOS-DOS LOS-TRES TAMBIÉN HERMANO LOS-TRES
The bike (is) lying (on the floor)	BICICLETA cl.d(Xa):bicicleta-en-suelo
he kneels	cl.e(2b&amp;gt;2d):PERSONA-arrodillarse-suelo cl.e(5):SUELO
as they approached  it	B CERCA
(One) to the house of b... bundles of straw and enters	OBJETIVO CASA MADERA PALO DENTRO YA
and the boy flew out.	cl.e(2b):PERSONA-caer+de-ciervo cl.e(Bh):CIERVO
(The boy got injured) when he fell	cl.e(2b):PERSONA-caer-suelo cl.e(Bh):SUELO SUFRIR B:cl.e(Bh):SUELO
He uprights the bike	BICICLETA cl.m(A):levantar-bicicleta
And he called out frog.	VENTANA GRITAR2 B:VENTANA LLAMAR B:VENTANA
Arua was alone (and scared).	SOLO2 SN:ARÚA SOLO2
(but) when they got up	G:niño-se-levanta
The boy that fled on the bicycle	cl.m(A):agarrar-manillar
(The one with the racquet) continues to play with the ball	cl.m(Xc):accionar-raqueta
(and it) was night	FECHA SITUACIÓN NOCHE
Nothing (happens)	cl.e:CASA
(and) was plucking pears from different branches	cl.m(5d&amp;gt;5):coger+guardar-fruta cl.e(B):SACO
and left.	ALEJARSE
[something] went wrong	FALLO
stares	PERRO B:cl.e(1):PERSONA-correr cl.e(Hd):PERRO-correr-persona+detrás cl.e(1):PERSONA-correr-perro+delante
The wolf continues.	LOBO CONTINUAR
The house is finished.	YA CASA LISTO
(then) place the basket (on the bike)	INDX cl.m(C):colocar-cesta
(Strange he thought) I had left it here...	G:incomprensión INDX.PRO:1sg LO-DE-ANTES VERDAD2 INDX.PRO:1sg G:incomprensión
in the window	MIRAR VENTANA
"What?	CUÁL
Three children on foot (come by).	HOMBRE cl.e(3):PERSONAS3-aproximarse
Three children came by	HOMBRE cl.e(3):PERSONAS3 PEQUEÑO2
An owl a nocturnal bird with large eyes flew out the hole and scared him	ASUSTAR B:cl.m(5):apoyarse-en+tronco cl.e(Q):CABEZA+ANIMAL-ascender B:cl.m(5):apoyarse-en+tronco RAPAZ^VOLAR cl.d(Xa):ojos-grandes NOCHE
as the flower closed completely around her.	cl.d(5):flor-cubrir-Arúa cl.e(5d&amp;gt;Cc):FLOR-cerrarse-persona cl.e(1):PERSONA
he climbed down the tree	cl.e(2d):PERSONA-descender+de-árbol cl.e(5):ÁRBOL LISTO(1M) B:cl.e(5):ÁRBOL
I am going to explain.	EMPEZAR INDX EXPLICAR
The dog barks	PERRO B:B:cl.d(5):agua-superficie G:perro
There was nothing.	HABER-NO
"the hat"	cl.m(Q):elevar-sombrero
He (continues) working	CONSTRUIR
The two of them walk	SALPICAR cl.e(Xa):ONDA-abrirse
The dog gets up	INDX PERRO cl.c(Bg):orejas
on a bike	INDX BICICLETA
this was a pear tree.	QUÉ TIPO PERA
He placed his hands (on the ground)	cl.m(5):apoyarse-árbol
The one who wins	UNO VICTORIA
The earlier man	HOMBRE PERSONA LO-DE-ANTES cl.e(2d):PERSONA-en-árbol cl.e(5):ÁRBOL
The three youngsters walked away	ALEJARSE B:ASÍ TRES B:ASÍ cl.e(3):PERSONAS3-alejarse B:ASÍ
it was clear.	G:
On  his left he sees a trunk	cl.e(1):PERSONA-desplazarse cl.c(B):garras-correr CORRER B:CORRER cl.e(1):PERSONA-correr
He walked past with the goat on a leash	cl.m(Xc):agarrar-correa
Then the child [with this sign] is facing the frog [whose sign is]	ENTONCES HOMBRE PEQUEÑO2 SN:niño MIRAR RANA SN:rana
takes a pear	G:hombre cl.m(Q):coger-fruta
with a pocket	hhh cl.d(L&amp;gt;B):bolsillo-delantal
The man followed them with his eyes	HOMBRE MIRAR
when a pear fell rolling outside the sack.	UNO B:cl.e(B):SACO MANZ- B:cl.e(B):SACO PERA2 B:cl.e(B):SACO cl.e(Cc):FRUTA-caer+de-saco B:cl.e(B):SACO
and caresses it	cl.e(2b):PERSONA-descender+de-cama cl.e(Bh):CAMA
plucks another pear	cl.m(5d):arrancar-fruta B:cl.e(C):SACO
(The man continues) plucking pears	cl.m(5d):coger+echar-fruta-en+saco cl.e(5h):SACO
falls on the head of the deer	ABEJA B:cl.e(5):ÁRBOL cl.e(Lc):INSECTO-volar-árbol B:cl.e(5):ÁRBOL
lay  a tree.	ÁRBOL cl.e(5):ÁRBOL
(The child begins to) worry	PROBLEMA
[the pears].	COGER(2Msu)
Where (could the frog be)?	DÓNDE
and they are about to cross each other	cl.e(Xa):BICICLETA-aproximarse-bicicleta
If another [child] appeared in the future I would (likewise) take it in..	FUTURO OTRO cl.m(5d):coger-persona MENTE G:interrogativo
She looked around	MIRAR B
when suddenly he sees the dog	G:mmm G:mmm
(her) sign "Star".	SIGNO SN:ARÚA INDX.PRO
because the glass jar had shattered on the floor.	MOTIVO B:cl.m(Bd):coger-perro CRISTAL B:cl.m(Bd):coger-perro GRIETA B:cl.m(Bd):coger-perro ROMPER cl.d(5h):esparcirse-añicos B:ROMPER
The pears fell	PERA4(Xc) cl.d(A&amp;gt;5):peras-caer
he kneels on the ground	AHORA cl.e(2b&amp;gt;2d):PERSONA-arrodillarse-suelo cl.e(5):SUELO
And the bottle with the snout falls to the ground	cl.e(C):FRASCO-descender
her and kill her.	ANIQUILAR G:prosódico
"I don't understand	LOBO MENTE^APAGAR
He took it in his hands and looked to see if it was clean	COGER cl.m(5d):examinar-fruta PURO cl.m(5d):agarrar-fruta
(began to) flit around the flower	cl.e(55):MARIPOSA-volar
 The wolf comes!" (the pigs scream).	VENIR B:ESCUCHAR(2M) LOBO YA
(She has two) braids	TRENZA TRENZA
the one who wins in strength and skills will marry Arua".	VICTORIA FUERTE DEPORTE INDX.PRO:3sg COGER CASAR INDX SN:ARÚA
and now what?	G:evidencia CÓMO FIN CUÁL G:pausa
that had fallen to the ground	cl.d(Q):sombrero-caído
Arua and Kuma’s boys grew up together.	CRECER(2M) PEQUEÑO2(2M) CRECER(2M)
The dog [his sign] sees them	G(Bd)(2M):ilativo SN:perro MIRAR
The man walking the goat	HOMBRE PASEAR CON CABRA
The three boys go away	cl.e(3):PERSONAS3-alejarse
and looked inside.	cl.m(5):apoyarse-en+tronco
I think so.	PARECER(2M)
"Frog! You Frog!"	GRITAR2
and quickly goes up the fireplace	G(5 2M):descender-por-interior-chimenea G:descender-por-interior-chimenea
and turned to see where it came from	MIRAR B:cl.e(Xa):BICICLETA
looking from inside the bottle	cl.e(2d):RANA-saltar+de-frasco B:cl.e(C):FRASCO
the forgotten hat	OLVIDAR SU(1M) SOMBRERO
and they crashed	INDX BATALLA
I sensed it.	OLER
Kuma looked at her and	SN:KUMA MIRAR
I am going to narrate (a story) about pears	TEMA PERA4(Xc) DL:PERA
The house had not moved.	cl.e:CASA
The father (stayed) thinking.	PADRE PENSAR(2Msu) G:resulución
and walked (terrified)	CAMINAR(MP)
Where is it?"	DÓNDE
The forest became darker	OSCURO BOSQUE
(The youngsters) went away	ALEJARSE G:mano-en-cintura G:¡qué-raro! B:G:mano-en-cintura
The boy starts to walk with the frog in his hand	cl.c(A):pezuñas-frenar
Now it is finished	AHORA LISTO
while she looked at the flower.	MIRAR FLOR MIRAR
He looked (at the man at the tree top and decided).	MIRAR B:CESTO G:incumplimiento B:CESTO
pedalling	BICICLETA
And walked stealthily	cl.c(X):PATAS-andar
The boy continued searching.	SN:NIÑO CONTINUAR BUSCAR B:CONTINUAR
Kuma took Arua home and looked after her.	CUIDAR
The dog is (next to the child)	PERRO MIRAR
and it licked his face	cl.c(B):LENGUA-lamer B:cl.m(Bd):coger-perro
Who knows!	G:quién-sabe
(The boy with the racquet) looks at the blond boy in the distance	MIRAR RUBIO cl.e(1):PERSONA
Let’s see how  the third and final pig (is building its) house.	VER ÚLTIMO B.L(3) INDX:tercero INDX CÓMO CASA CÓMO
Are you sure?	ES.SEGURO(1M)
The pig (responds): "I know I know.	HOMBRE- CERDO SABER INDX
It prepares itself:	PREPARAR
She couldn't (walk any more).	PODER2 B
(All) jumping.	cl.e(Hd):RANAS-saltar RANA
(And started) to search.	BUSCAR(2Msu)
learning on the tree trunk.	cl.e(2b):PERSONA-apoyarse-tronco cl.e(B):TRONCO
(The wolf) fills its lungs (with air)	cl.d(5):pecho-hinchar
and escapes steaming.	cl.e(2d):PERSONA-descender+por-chimenea cl.e(C):CHIMENEA LLAMA B:cl.e(C):CHIMENEA
A dog sitting opposite	HABITACIÓN CAMA HOMBRE cl.e(2d):PERSONA-sentada
I need your advice.	CÓMO ACONSEJAR G
Those three children who are coming	INDX cl.e(3):PERSONAS3-desplazarse
When I think about it	FUTURO PENSAR(2Msu)
it looks carefully	B:ACOSTARSE PERRO cl.e(Bh):CAMA cl.e(2d):PERRO-ascender+a-cama cl.e:CAMA cl.e(2d):PERRO-posarse-cama
then takes the...	cl.m(5):coger-cesta
(The wolf takes) a look (at the house)	G:concentración MIRAR
It goes near (the house)	AHORA cl.c(1):PATAS-andar
climbs on the bike	cl.e(2b):PERSONA-ascender+a-bicicleta cl.e(B):BICICLETA
The two rushed	LOS-DOS B:cl.e(Bh):CIERVO cl.e(2d):PERSONA-caer-con+perro cl.e(2d):PERRO-caer-con+persona